"PARAM","DETLI.mgperkg","n"
"Cd",7e-06,133
"Cd",1e-05,45
"Cd",1e-04,139
"Cd",0.00013,5
"Cd",2e-04,32
"Cd",3e-04,108
"Cd",0.00033,7
"Cd",5e-04,31
"Cd",6e-04,12
"Cd",0.001,902
"Cd",0.0013,15
"Cd",0.001333,21
"Cd",0.002,397
"Cd",0.003,130
"Cd",0.0033,4
"Cd",0.004,165
"Cd",0.00476,4
"Cd",0.0048,53
"Cd",0.005,93
"Cd",0.007,87
"Cd",0.0094,20
"Cd",0.01,503
"Cd",0.013913,12
"Cd",0.025,12
"Cd",0.03,71
"Cd",0.04,9
"Cd",0.05,922
"Cd",0.057,7
"Cd",0.06,38
"Cd",0.075,30
"Cd",0.35,1
"Cd",0.44,1
"Cd",1,961
"Cd",NA,1792
"Pb",1e-04,178
"Pb",2e-04,44
"Pb",5e-04,21
"Pb",0.00088,5
"Pb",0.001,247
"Pb",0.002,27
"Pb",0.00354,9
"Pb",0.004,86
"Pb",0.005,31
"Pb",0.007,369
"Pb",0.008,366
"Pb",0.009,96
"Pb",0.01,194
"Pb",0.013,12
"Pb",0.0136,57
"Pb",0.01881,1
"Pb",0.02,394
"Pb",0.025,37
"Pb",0.026,6
"Pb",0.027,4
"Pb",0.028,2
"Pb",0.029,8
"Pb",0.03,722
"Pb",0.031,3
"Pb",0.032,2
"Pb",0.034,2
"Pb",0.035,1
"Pb",0.036,1
"Pb",0.037,1
"Pb",0.038,2
"Pb",0.04,1434
"Pb",0.05,380
"Pb",0.1,4
"Pb",0.12,1
"Pb",0.13,1
"Pb",0.15,71
"Pb",0.188,20
"Pb",0.2,10
"Pb",0.5,86
"Pb",0.6,38
"Pb",NA,1736
