"","Country","MYEAR","DATE","Latitude","Longitude","Species","NOINP","MATRX","Value.mgperkg","PARAM","BASIS","QFLAG","DETLI.mgperkg","LMQNT","UNCRT"
"1","The Netherlands",1982,"17/10/1982",51.68333333,3.8,"Mytilus edulis",50,"SB",0.12,"Cd","W","",0.002,NA,NA
"2","The Netherlands",1982,"15/04/1982",51.41666667,3.55,"Mytilus edulis",50,"SB",0.55,"Cd","W","",0.002,NA,NA
"3","The Netherlands",1982,"15/04/1982",51.35,3.83333333,"Mytilus edulis",50,"SB",2.6,"Cd","W","",0.002,NA,NA
"4","The Netherlands",1982,"15/04/1982",51.23333333,4.21666667,"Mytilus edulis",50,"SB",3.8,"Cd","W","",0.002,NA,NA
"5","The Netherlands",1982,"17/10/1982",53.33333333,6.95,"Mytilus edulis",50,"SB",0.19,"Cd","W","",0.002,NA,NA
"6","The Netherlands",1982,"17/10/1982",52.28333333,4.3,"Mytilus edulis",34,"SB",0.32,"Cd","W","",0.002,NA,NA
"7","The Netherlands",1982,"17/10/1982",53.06666667,5.06666667,"Mytilus edulis",49,"SB",0.09,"Cd","W","",0.002,NA,NA
"8","The Netherlands",1982,"17/10/1982",51.41666667,3.55,"Mytilus edulis",50,"SB",0.51,"Cd","W","",0.002,NA,NA
"9","The Netherlands",1982,"17/10/1982",51.23333333,4.21666667,"Mytilus edulis",50,"SB",3.1,"Cd","W","",0.002,NA,NA
"10","The Netherlands",1982,"15/04/1982",53.56666667,6.66666667,"Mytilus edulis",50,"SB",0.24,"Cd","W","",0.002,NA,NA
"11","The Netherlands",1982,"17/10/1982",53.56666667,6.66666667,"Mytilus edulis",50,"SB",0.13,"Cd","W","",0.002,NA,NA
"12","The Netherlands",1982,"15/04/1982",53.06666667,5.06666667,"Mytilus edulis",50,"SB",0.18,"Cd","W","",0.002,NA,NA
"13","The Netherlands",1982,"15/04/1982",51.68333333,3.8,"Mytilus edulis",50,"SB",0.25,"Cd","W","",0.002,NA,NA
"14","The Netherlands",1982,"15/04/1982",53.66666667,6.58333333,"Mytilus edulis",49,"SB",0.21,"Cd","W","",0.002,NA,NA
"15","The Netherlands",1982,"17/10/1982",51.35,3.83333333,"Mytilus edulis",50,"SB",2.5,"Cd","W","",0.002,NA,NA
"16","The Netherlands",1982,"15/04/1982",53.33333333,6.95,"Mytilus edulis",50,"SB",0.28,"Cd","W","",0.002,NA,NA
"17","The Netherlands",1982,"17/10/1982",53.66666667,6.58333333,"Mytilus edulis",50,"SB",0.14,"Cd","W","",0.002,NA,NA
"18","The Netherlands",1982,"15/04/1982",52.28333333,4.3,"Mytilus edulis",50,"SB",0.32,"Cd","W","",0.002,NA,NA
"19","The Netherlands",1980,"23/04/1980",53.56666667,6.66666667,"Mytilus edulis",50,"SB",0.42,"Pb","W","",0.03,NA,NA
"20","The Netherlands",1980,"20/10/1980",53.56666667,6.66666667,"Mytilus edulis",50,"SB",0.74,"Pb","W","",0.03,NA,NA
"21","The Netherlands",1980,"23/04/1980",53.33333333,6.95,"Mytilus edulis",50,"SB",0.51,"Pb","W","",0.03,NA,NA
"22","The Netherlands",1980,"20/10/1980",51.68333333,3.8,"Mytilus edulis",50,"SB",0.55,"Pb","W","",0.03,NA,NA
"23","The Netherlands",1980,"23/04/1980",52.28333333,4.3,"Mytilus edulis",50,"SB",0.66,"Pb","W","",0.03,NA,NA
"24","The Netherlands",1980,"20/10/1980",52.28333333,4.3,"Mytilus edulis",50,"SB",0.78,"Pb","W","",0.03,NA,NA
"25","The Netherlands",1980,"20/10/1980",51.35,3.83333333,"Mytilus edulis",50,"SB",2,"Pb","W","",0.03,NA,NA
"26","The Netherlands",1980,"13/05/1980",51.23333333,4.21666667,"Mytilus edulis",50,"SB",0.7,"Pb","W","",0.03,NA,NA
"27","The Netherlands",1980,"13/05/1980",51.41666667,3.55,"Mytilus edulis",50,"SB",1.2,"Pb","W","",0.03,NA,NA
"28","The Netherlands",1980,"20/10/1980",51.41666667,3.55,"Mytilus edulis",50,"SB",1.3,"Pb","W","",0.03,NA,NA
"29","The Netherlands",1980,"13/05/1980",51.35,3.83333333,"Mytilus edulis",50,"SB",0.9,"Pb","W","",0.03,NA,NA
"30","The Netherlands",1980,"20/10/1980",51.23333333,4.21666667,"Mytilus edulis",52,"SB",1.1,"Pb","W","",0.03,NA,NA
"31","The Netherlands",1980,"23/04/1980",53.66666667,6.58333333,"Mytilus edulis",50,"SB",0.4,"Pb","W","",0.03,NA,NA
"32","The Netherlands",1980,"23/04/1980",53.06666667,5.06666667,"Mytilus edulis",50,"SB",0.66,"Pb","W","",0.03,NA,NA
