"X","Country","MYEAR","DATE","Latitude","Longitude","Species","NOINP","MATRX","Value.mgperkg","PARAM","BASIS","QFLAG","DETLI.mgperkg","LMQNT","UNCRT","n_bycountry"
543,"The Netherlands",1990,1990-09-15,51.42216667,3.91983333,"Mytilus edulis",257,"SB",0.47,"Cd","W","",0.005,NA,NA,233
544,"The Netherlands",1990,1990-09-15,51.67066667,3.86666667,"Mytilus edulis",-99,"SB",0.068,"Cd","W","",NA,NA,NA,233
545,"The Netherlands",1990,1990-09-15,51.42216667,3.91983333,"Mytilus edulis",125,"SB",0.49,"Cd","W","",0.005,NA,NA,233
546,"The Netherlands",1990,1990-09-15,51.42216667,3.91983333,"Mytilus edulis",77,"SB",0.63,"Cd","W","",0.005,NA,NA,233
547,"The Netherlands",1990,1990-09-15,51.42216667,3.91983333,"Mytilus edulis",51,"SB",0.62,"Cd","W","",0.005,NA,NA,233
548,"The Netherlands",1990,1990-09-15,51.42216667,3.91983333,"Mytilus edulis",50,"SB",0.79,"Cd","W","",0.005,NA,NA,233
549,"The Netherlands",1990,1990-09-15,53.403,6.88666667,"Mytilus edulis",200,"SB",0.073,"Cd","W","",0.005,NA,NA,233
550,"The Netherlands",1990,1990-09-15,53.403,6.88666667,"Mytilus edulis",120,"SB",0.056,"Cd","W","",0.005,NA,NA,233
551,"The Netherlands",1990,1990-09-15,53.403,6.88666667,"Mytilus edulis",57,"SB",0.075,"Cd","W","",0.005,NA,NA,233
552,"The Netherlands",1990,1990-09-15,53.403,6.88666667,"Mytilus edulis",42,"SB",0.079,"Cd","W","",0.005,NA,NA,233
553,"The Netherlands",1990,1990-09-15,53.403,6.88666667,"Mytilus edulis",54,"SB",0.12,"Cd","W","",0.005,NA,NA,233
573,"Germany",1992,1992-09-21,53.59,6.79733333,"Mytilus edulis",15,"SB",0.24,"Cd","W","",1e-04,NA,NA,224
574,"Germany",1992,1992-09-21,53.59,6.79733333,"Mytilus edulis",15,"SB",0.24,"Cd","W","",1e-04,NA,NA,224
575,"Germany",1992,1992-09-21,53.59,6.79733333,"Mytilus edulis",15,"SB",0.21,"Cd","W","",1e-04,NA,NA,224
580,"Germany",1992,1992-09-21,53.69166667,7.24166667,"Mytilus edulis",13,"SB",0.32,"Cd","W","",1e-04,NA,NA,224
581,"Germany",1992,1992-09-21,53.69166667,7.24166667,"Mytilus edulis",15,"SB",0.26,"Cd","W","",1e-04,NA,NA,224
582,"Germany",1992,1992-09-21,53.69166667,7.24166667,"Mytilus edulis",15,"SB",0.12,"Cd","W","",1e-04,NA,NA,224
583,"Germany",1992,1992-09-21,53.69166667,7.24166667,"Mytilus edulis",15,"SB",0.12,"Cd","W","",1e-04,NA,NA,224
584,"Germany",1992,1992-09-21,53.69166667,7.24166667,"Mytilus edulis",15,"SB",0.14,"Cd","W","",1e-04,NA,NA,224
585,"Germany",1992,1992-09-22,53.69833333,8.14666667,"Mytilus edulis",15,"SB",0.17,"Cd","W","",1e-04,NA,NA,224
586,"Germany",1992,1992-09-22,53.69833333,8.14666667,"Mytilus edulis",15,"SB",0.16,"Cd","W","",1e-04,NA,NA,224
587,"Germany",1992,1992-09-22,53.69833333,8.14666667,"Mytilus edulis",15,"SB",0.18,"Cd","W","",1e-04,NA,NA,224
588,"Germany",1992,1992-10-07,53.72416667,7.69666667,"Mytilus edulis",12,"SB",0.27,"Cd","W","",1e-04,NA,NA,224
589,"Germany",1992,1992-10-07,53.72416667,7.69666667,"Mytilus edulis",17,"SB",0.28,"Cd","W","",1e-04,NA,NA,224
590,"Germany",1992,1992-10-07,53.72416667,7.69666667,"Mytilus edulis",18,"SB",0.29,"Cd","W","",1e-04,NA,NA,224
591,"Germany",1992,1992-10-07,53.72416667,7.69666667,"Mytilus edulis",9,"SB",0.26,"Cd","W","",1e-04,NA,NA,224
592,"Germany",1992,1992-09-22,53.69833333,8.14666667,"Mytilus edulis",15,"SB",0.15,"Cd","W","",1e-04,NA,NA,224
593,"Germany",1992,1992-09-22,53.69833333,8.14666667,"Mytilus edulis",14,"SB",0.17,"Cd","W","",1e-04,NA,NA,224
594,"Germany",1992,1992-09-22,53.5,8.26666667,"Mytilus edulis",16,"SB",0.3,"Cd","W","",1e-04,NA,NA,224
595,"Germany",1992,1992-09-22,53.5,8.26666667,"Mytilus edulis",15,"SB",0.35,"Cd","W","",1e-04,NA,NA,224
596,"Germany",1992,1992-09-22,53.5,8.26666667,"Mytilus edulis",15,"SB",0.43,"Cd","W","",1e-04,NA,NA,224
597,"Germany",1992,1992-10-07,53.72416667,7.69666667,"Mytilus edulis",20,"SB",0.13,"Cd","W","",1e-04,NA,NA,224
598,"Germany",1992,1992-10-07,53.72416667,7.69666667,"Mytilus edulis",13,"SB",0.11,"Cd","W","",1e-04,NA,NA,224
599,"Germany",1992,1992-10-07,53.72416667,7.69666667,"Mytilus edulis",11,"SB",0.13,"Cd","W","",1e-04,NA,NA,224
600,"Germany",1992,1992-09-22,53.5,8.26666667,"Mytilus edulis",16,"SB",0.24,"Cd","W","",1e-04,NA,NA,224
601,"Germany",1992,1992-09-22,53.5,8.26666667,"Mytilus edulis",15,"SB",0.29,"Cd","W","",1e-04,NA,NA,224
602,"Germany",1992,1992-09-21,53.59,6.79733333,"Mytilus edulis",12,"SB",0.2,"Cd","W","",1e-04,NA,NA,224
603,"Germany",1992,1992-09-21,53.59,6.79733333,"Mytilus edulis",15,"SB",0.21,"Cd","W","",1e-04,NA,NA,224
615,"Germany",1992,1992-12-16,53.93333333,8.63333333,"Mytilus edulis",50,"SB",0.29,"Cd","W","",1e-04,NA,NA,224
616,"Germany",1992,1992-12-16,53.93333333,8.63333333,"Mytilus edulis",35,"SB",0.29,"Cd","W","",1e-04,NA,NA,224
617,"Germany",1992,1992-12-16,53.93333333,8.63333333,"Mytilus edulis",25,"SB",0.28,"Cd","W","",1e-04,NA,NA,224
618,"Germany",1992,1992-12-16,53.93333333,8.63333333,"Mytilus edulis",2,"SB",0.55,"Cd","W","",1e-04,NA,NA,224
