"Month.Year","Conc","estimated"
1990-02-01,0.25,0
1990-03-01,0.245,0
1990-04-01,0.43,0
1990-05-01,0.36,1
1990-06-01,0.29,0
1990-07-01,0.19,0
1990-08-01,0.19775,1
1990-09-01,0.2055,0
1990-10-01,0.2,0
1990-11-01,0.115,0
1990-12-01,0.140714285714286,1
1991-01-01,0.166428571428571,1
1991-02-01,0.192142857142857,1
1991-03-01,0.217857142857143,1
1991-04-01,0.243571428571429,1
1991-05-01,0.269285714285714,1
1991-06-01,0.295,0
1991-07-01,0.25,1
1991-08-01,0.205,1
1991-09-01,0.16,0
1991-10-01,0.18,0
1991-11-01,0.31,0
1991-12-01,0.396666666666667,1
1992-01-01,0.483333333333333,1
1992-02-01,0.57,0
1992-03-01,0.515,1
1992-04-01,0.46,1
1992-05-01,0.405,0
1992-06-01,0.338333333333333,1
1992-07-01,0.271666666666667,1
1992-08-01,0.205,0
1992-09-01,0.22,0
1992-10-01,0.16,0
1992-11-01,0.22,0
1992-12-01,0.29,0
1993-01-01,0.255,1
1993-02-01,0.22,1
1993-03-01,0.185,1
1993-04-01,0.15,0
1993-05-01,0.13,0
1993-06-01,0.15,1
1993-07-01,0.17,1
1993-08-01,0.19,0
1993-09-01,0.25,0
1993-10-01,0.129,0
1993-11-01,0.165,0
1993-12-01,0.164375,1
1994-01-01,0.16375,1
1994-02-01,0.163125,1
1994-03-01,0.1625,1
1994-04-01,0.161875,1
1994-05-01,0.16125,1
1994-06-01,0.160625,1
1994-07-01,0.16,0
1994-08-01,0.24,0
1994-09-01,0.225,0
1994-10-01,0.29,0
1994-11-01,0.137125,0
1994-12-01,0.241,0
1995-01-01,0.14,0
1995-02-01,0.132,0
1995-03-01,0.139666666666667,1
1995-04-01,0.147333333333333,1
1995-05-01,0.155,0
1995-06-01,0.157833333333333,1
1995-07-01,0.160666666666667,1
1995-08-01,0.1635,0
1995-09-01,0.31,0
1995-10-01,0.18,0
1995-11-01,0.10833,0
1995-12-01,0.1262475,1
1996-01-01,0.144165,1
1996-02-01,0.1620825,1
1996-03-01,0.18,0
1996-04-01,0.166,1
1996-05-01,0.152,1
1996-06-01,0.138,1
1996-07-01,0.124,1
1996-08-01,0.11,0
1996-09-01,0.23,0
1996-10-01,0.14,0
1996-11-01,0.16,0
1996-12-01,0.16,1
1997-01-01,0.16,1
1997-02-01,0.16,1
1997-03-01,0.16,1
1997-04-01,0.16,1
1997-05-01,0.16,1
1997-06-01,0.16,1
1997-07-01,0.16,1
1997-08-01,0.16,0
1997-09-01,0.24,0
1997-10-01,0.21,0
1997-11-01,0.16,0
1997-12-01,0.205,0
1998-01-01,0.18,0
1998-02-01,0.15635,1
1998-03-01,0.1327,0
1998-04-01,0.155583333333333,1
1998-05-01,0.178466666666667,1
1998-06-01,0.20135,1
1998-07-01,0.224233333333333,1
1998-08-01,0.247116666666667,1
1998-09-01,0.27,0
1998-10-01,0.21,0
1998-11-01,0.14,0
1998-12-01,0.1233,0
1999-01-01,0.2063,0
1999-02-01,0.157,0
1999-03-01,0.277,0
1999-04-01,0.161,0
1999-05-01,0.1795,1
1999-06-01,0.198,0
1999-07-01,0.372,1
1999-08-01,0.546,1
1999-09-01,0.72,0
1999-10-01,0.21,0
1999-11-01,0.1398,0
1999-12-01,0.29,0
2000-01-01,0.349,0
2000-02-01,0.2,0
2000-03-01,0.284,0
2000-04-01,0.33,0
2000-05-01,0.3225,1
2000-06-01,0.315,0
2000-07-01,0.2575,1
2000-08-01,0.2,0
2000-09-01,0.175,0
2000-10-01,0.28,0
2000-11-01,0.1635,0
2000-12-01,0.145,0
2001-01-01,0.18,0
2001-02-01,0.19,0
2001-03-01,0.2485,0
2001-04-01,1.5,0
2001-05-01,1.244,1
2001-06-01,0.988,1
2001-07-01,0.732,1
2001-08-01,0.476,1
2001-09-01,0.22,0
2001-10-01,0.24,0
2001-11-01,0.17,0
2001-12-01,0.189,0
2002-01-01,0.15061436675,0
2002-02-01,0.17,0
2002-03-01,0.212,0
2002-04-01,0.17,0
2002-05-01,0.114,0
2002-06-01,0.139333333333333,1
2002-07-01,0.164666666666667,1
2002-08-01,0.19,0
2002-09-01,0.235,0
2002-10-01,0.23,0
2002-11-01,0.10265,0
2002-12-01,0.0839,0
2003-01-01,0.18913607595,0
2003-02-01,0.34,0
2003-03-01,0.144837,0
2003-04-01,0.305,0
2003-05-01,0.256179875,1
2003-06-01,0.20735975,1
2003-07-01,0.158539625,1
2003-08-01,0.1097195,0
2003-09-01,0.26,0
2003-10-01,0.2,0
2003-11-01,0.1284,0
2003-12-01,0.1476,0
2004-01-01,0.1663522013,0
2004-02-01,0.19203,0
2004-03-01,0.1165,0
2004-04-01,0.12025,1
2004-05-01,0.124,0
2004-06-01,0.149333333333333,1
2004-07-01,0.174666666666667,1
2004-08-01,0.2,0
2004-09-01,0.17,0
2004-10-01,0.1815,0
2004-11-01,0.15,0
2004-12-01,0.3183,0
2005-01-01,0.2554,1
2005-02-01,0.1925,0
2005-03-01,0.261,0
2005-04-01,0.2035,1
2005-05-01,0.146,0
2005-06-01,0.249,0
2005-07-01,0.2345,1
2005-08-01,0.22,0
2005-09-01,0.19,0
2005-10-01,0.2,0
2005-11-01,0.19,0
2005-12-01,0.205,0
2006-01-01,0.1563,0
2006-02-01,0.20965,0
2006-03-01,0.167,0
2006-04-01,0.1776,1
2006-05-01,0.1882,1
2006-06-01,0.1988,1
2006-07-01,0.2094,1
2006-08-01,0.22,0
2006-09-01,0.36,0
2006-10-01,0.2,0
2006-11-01,0.21,0
2006-12-01,0.22,0
2007-01-01,0.234,1
2007-02-01,0.248,1
2007-03-01,0.262,0
2007-04-01,0.296,0
2007-05-01,0.354,0
2007-06-01,0.282666666666667,1
2007-07-01,0.211333333333333,1
2007-08-01,0.14,0
2007-09-01,0.275,0
2007-10-01,0.16,0
2007-11-01,0.195,0
2007-12-01,0.24,0
2008-01-01,0.256,0
2008-02-01,0.153,0
2008-03-01,0.217,0
2008-04-01,0.304,0
2008-05-01,0.599333333333333,1
2008-06-01,0.894666666666666,1
2008-07-01,1.19,0
2008-08-01,0.17,0
2008-09-01,0.236,0
2008-10-01,0.194,0
2008-11-01,0.1724,0
2008-12-01,0.1559,0
2009-01-01,0.242,0
2009-02-01,0.14,0
2009-03-01,0.315,0
2009-04-01,0.278,0
2009-05-01,0.0286,0
2009-06-01,0.09,0
2009-07-01,0.09,0
2009-08-01,0.128,0
2009-09-01,0.196,0
2009-10-01,0.183,0
2009-11-01,0.1582,0
2009-12-01,0.1555,0
2010-01-01,0.19325,1
2010-02-01,0.231,0
2010-03-01,0.164,0
2010-04-01,0.139333333333333,1
2010-05-01,0.114666666666667,1
2010-06-01,0.09,0
2010-07-01,0.139,0
2010-08-01,0.175,0
2010-09-01,0.175,0
2010-10-01,0.195,0
2010-11-01,0.11,0
2010-12-01,0.07,0
2011-01-01,0.2205,0
2011-02-01,0.221,0
2011-03-01,0.1485,0
2011-04-01,0.120666666666667,1
2011-05-01,0.0928333333333333,1
2011-06-01,0.065,0
2011-07-01,0.07,0
2011-08-01,0.177,0
2011-09-01,0.1925,0
2011-10-01,0.195,0
2011-11-01,0.08,0
2011-12-01,0.13,0
2012-01-01,0.09,0
2012-02-01,0.141,0
2012-03-01,0.2455,0
2012-04-01,0.107,0
2012-05-01,0.1348,1
2012-06-01,0.1626,1
2012-07-01,0.1904,1
2012-08-01,0.2182,1
2012-09-01,0.246,0
2012-10-01,0.18,0
