"Month.Year","Conc","estimated"
1990-02-01,0.38,0
1990-03-01,0.685,0
1990-04-01,1.88,0
1990-05-01,1.575,1
1990-06-01,1.27,0
1990-07-01,0.6,0
1990-08-01,0.495,1
1990-09-01,0.39,0
1990-10-01,0.41,0
1990-11-01,0.25,0
1990-12-01,0.228,0
1991-01-01,0.250833333333333,1
1991-02-01,0.273666666666667,1
1991-03-01,0.2965,1
1991-04-01,0.319333333333333,1
1991-05-01,0.342166666666667,1
1991-06-01,0.365,0
1991-07-01,0.326666666666667,1
1991-08-01,0.288333333333333,1
1991-09-01,0.25,0
1991-10-01,0.245,0
1991-11-01,0.23,0
1991-12-01,19.5866666666667,1
1992-01-01,38.9433333333333,1
1992-02-01,58.3,0
1992-03-01,39.245,1
1992-04-01,20.19,1
1992-05-01,1.135,0
1992-06-01,0.82,1
1992-07-01,0.505,1
1992-08-01,0.19,0
1992-09-01,0.41,0
1992-10-01,0.26,0
1992-11-01,0.3,0
1992-12-01,0.32,0
1993-01-01,0.2675,1
1993-02-01,0.215,1
1993-03-01,0.1625,1
1993-04-01,0.11,0
1993-05-01,0.085,0
1993-06-01,0.133333333333333,1
1993-07-01,0.181666666666667,1
1993-08-01,0.23,0
1993-09-01,0.35,0
1993-10-01,0.52,0
1993-11-01,0.16,0
1993-12-01,0.19125,1
1994-01-01,0.2225,1
1994-02-01,0.25375,1
1994-03-01,0.285,1
1994-04-01,0.31625,1
1994-05-01,0.3475,1
1994-06-01,0.37875,1
1994-07-01,0.41,0
1994-08-01,0.2545,0
1994-09-01,0.28,0
1994-10-01,0.34,0
1994-11-01,0.19,0
1994-12-01,0.237,0
1995-01-01,0.87,0
1995-02-01,0.008,0
1995-03-01,0.009,1
1995-04-01,0.01,1
1995-05-01,0.011,0
1995-06-01,0.0406666666666667,1
1995-07-01,0.0703333333333333,1
1995-08-01,0.1,0
1995-09-01,0.275,0
1995-10-01,0.2,0
1995-11-01,0.19533,0
1995-12-01,0.4539975,1
1996-01-01,0.712665,1
1996-02-01,0.9713325,1
1996-03-01,1.23,0
1996-04-01,1.034,1
1996-05-01,0.838,1
1996-06-01,0.642,1
1996-07-01,0.446,1
1996-08-01,0.25,0
1996-09-01,0.22,0
1996-10-01,0.18,0
1996-11-01,0.185,0
1996-12-01,0.175555555555556,1
1997-01-01,0.166111111111111,1
1997-02-01,0.156666666666667,1
1997-03-01,0.147222222222222,1
1997-04-01,0.137777777777778,1
1997-05-01,0.128333333333333,1
1997-06-01,0.118888888888889,1
1997-07-01,0.109444444444444,1
1997-08-01,0.1,0
1997-09-01,0.175,0
1997-10-01,0.32,0
1997-11-01,0.24,0
1997-12-01,0.72,0
1998-01-01,0.78,0
1998-02-01,0.43475,1
1998-03-01,0.0895,0
1998-04-01,0.0979166666666667,1
1998-05-01,0.106333333333333,1
1998-06-01,0.11475,1
1998-07-01,0.123166666666667,1
1998-08-01,0.131583333333333,1
1998-09-01,0.14,0
1998-10-01,0.2961,0
1998-11-01,0.15,0
1998-12-01,0.0982,0
1999-01-01,0.526,0
1999-02-01,0.413,0
1999-03-01,0.686,0
1999-04-01,0.909,0
1999-05-01,0.9265,1
1999-06-01,0.944,0
1999-07-01,0.789333333333333,1
1999-08-01,0.634666666666667,1
1999-09-01,0.48,0
1999-10-01,0.38,0
1999-11-01,0.1159,0
1999-12-01,0.337,0
2000-01-01,0.3345,0
2000-02-01,0.82,0
2000-03-01,0.7267,0
2000-04-01,0.1325,0
2000-05-01,0.56725,1
2000-06-01,1.002,0
2000-07-01,0.546,1
2000-08-01,0.09,0
2000-09-01,0.12,0
2000-10-01,0.2487,0
2000-11-01,0.2424,0
2000-12-01,0.28025,0
2001-01-01,1.36,0
2001-02-01,0.633,0
2001-03-01,0.8055,0
2001-04-01,1.12,0
2001-05-01,0.931,1
